SMILES,rdkit_SMILES,Molecular Weight,Molecular Formula,IUPAC chemical name,EPISUITE-compatible SMILES,InChI Code,InChI Key
O=CCC,CCC=O,58.08,C3H6O,propionaldehyde,O=CCC,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",InChIKey=NBBJYMSMWIIQGU-UHFFFAOYSA-N
C/N=N/C,CN=NC,58.084,C2H6N2,"1,2-dimethyldiazene",C/N=N/C,InChI=1S/C2H6N2/c1-3-4-2/h1-2H3,InChIKey=JCCAVOLDXDEODY-UHFFFAOYSA-N
N(=C)NC,C=NNC,58.084,C2H6N2,1-methyl-2-methylenehydrazine,N(=C)NC,"InChI=1S/C2H6N2/c1-3-4-2/h4H,1H2,2H3",InChIKey=YAAYTUSOEFHQIF-UHFFFAOYSA-N
CC(=N)N,CC(=N)N,58.084,C2H6N2,acetimidamide,CC(=N)N,"InChI=1S/C2H6N2/c1-2(3)4/h1H3,(H3,3,4)",InChIKey=OQLZINXFSUDMHM-UHFFFAOYSA-N
NN1CC1,NN1CC1,58.084,C2H6N2,aziridin-1-amine,NN1CC1,InChI=1S/C2H6N2/c3-4-1-2-4/h1-3H2,InChIKey=RLFFLEZFARXFQF-UHFFFAOYSA-N
NC(N)=C,C=C(N)N,58.084,C2H6N2,"ethene-1,1-diamine",NC(N)=C,"InChI=1S/C2H6N2/c1-2(3)4/h1,3-4H2",InChIKey=BSGRLBPZSRZQOR-UHFFFAOYSA-N
N\C=C/N,NC=CN,58.084,C2H6N2,"ethene-1,2-diamine",N\C=C/N,"InChI=1S/C2H6N2/c3-1-2-4/h1-2H,3-4H2",InChIKey=MLCJWRIUYXIWNU-UHFFFAOYSA-N
CC=NN,CC=NN,58.084,C2H6N2,ethylidenehydrazine,CC=NN,"InChI=1S/C2H6N2/c1-2-4-3/h2H,3H2,1H3",InChIKey=SFYLHIMXJQGKGZ-UHFFFAOYSA-N
C=CNN,C=CNN,58.084,C2H6N2,vinylhydrazine,C=CNN,"InChI=1S/C2H6N2/c1-2-4-3/h2,4H,1,3H2",InChIKey=JJVJPJWQXDQCEI-UHFFFAOYSA-N
C1=CS1,C1=CS1,58.098,C2H2S,thiirene,C1=CS1,InChI=1S/C2H2S/c1-2-3-1/h1-2H,InChIKey=JTQAPFZZCXWQNQ-UHFFFAOYSA-N
CCCC,CCCC,58.124,C4H10,butane,CCCC,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N
CC(C)C,CC(C)C,58.124,C4H10,isobutane,CC(C)C,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N
FC1=CN1,FC1=CN1,59.0434,C2H2FN,2-fluoro-1H-azirine,FC1=CN1,"InChI=1S/C2H2FN/c3-2-1-4-2/h1,4H",InChIKey=MMNOXUVQNZOIRI-UHFFFAOYSA-N
N1CCO1,C1CON1,59.068,C2H5NO,"1,2-oxazetidine",N1CCO1,"InChI=1S/C2H5NO/c1-2-4-3-1/h3H,1-2H2",InChIKey=XHWNEBDUPVMPKI-UHFFFAOYSA-N
C/C=N/O,CC=NO,59.068,C2H5NO,acetaldehyde oxime,C/C=N/O,"InChI=1S/C2H5NO/c1-2-3-4/h2,4H,1H3",InChIKey=FZENGILVLUJGJX-UHFFFAOYSA-N
CC(N)=O,CC(N)=O,59.068,C2H5NO,acetamide,CC(N)=O,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",InChIKey=DLFVBJFMPXGRIB-UHFFFAOYSA-N
ON1CC1,ON1CC1,59.068,C2H5NO,aziridin-1-ol,ON1CC1,"InChI=1S/C2H5NO/c4-3-1-2-3/h4H,1-2H2",InChIKey=DTEAMMSJXLXUOQ-UHFFFAOYSA-N
O=NCC,CCN=O,59.068,C2H5NO,nitrosoethane,O=NCC,"InChI=1S/C2H5NO/c1-2-3-4/h2H2,1H3",InChIKey=IFYCAQIXDKZDTB-UHFFFAOYSA-N
O=CNC,CNC=O,59.068,C2H5NO,N-methylformamide,O=CNC,"InChI=1S/C2H5NO/c1-3-2-4/h2H,1H3,(H,3,4)",InChIKey=ATHHXGZTWNVVOU-UHFFFAOYSA-N
C=CNO,C=CNO,59.068,C2H5NO,N-vinylhydroxylamine,C=CNO,"InChI=1S/C2H5NO/c1-2-3-4/h2-4H,1H2",InChIKey=DOQRFSPGLXDRPF-UHFFFAOYSA-N
NOC=C,C=CON,59.068,C2H5NO,O-vinylhydroxylamine,NOC=C,"InChI=1S/C2H5NO/c1-2-4-3/h2H,1,3H2",InChIKey=DDBNQTLBNWVNAS-UHFFFAOYSA-N
N(=C/N)\N,NC=NN,59.072,CH5N3,formohydrazonamide,N(=C/N)\N,"InChI=1S/CH5N3/c2-1-4-3/h1H,3H2,(H2,2,4)",InChIKey=RFZKDTRCZMWOEI-UHFFFAOYSA-N
NC(N)=N,N=C(N)N,59.072,CH5N3,guanidine,NC(N)=N,"InChI=1S/CH5N3/c2-1(3)4/h(H5,2,3,4)",InChIKey=ZRALSGWEFCBTJO-UHFFFAOYSA-N
SC#N,N#CS,59.086,CHNS,thiocyanic acid,SC#N,InChI=1S/CHNS/c2-1-3/h3H,InChIKey=ZMZDMBWJUHKJPS-UHFFFAOYSA-N
CNCC,CCNC,59.112,C3H9N,N-methylethanamine,CNCC,"InChI=1S/C3H9N/c1-3-4-2/h4H,3H2,1-2H3",InChIKey=LIWAQLJGPBVORC-UHFFFAOYSA-N
NCCC,CCCN,59.112,C3H9N,propan-1-amine,NCCC,"InChI=1S/C3H9N/c1-2-3-4/h2-4H2,1H3",InChIKey=WGYKZJWCGVVSQN-UHFFFAOYSA-N
NC(C)C,CC(C)N,59.112,C3H9N,propan-2-amine,NC(C)C,"InChI=1S/C3H9N/c1-3(2)4/h3H,4H2,1-2H3",InChIKey=JJWLVOIRVHMVIS-UHFFFAOYSA-N
CN(C)C,CN(C)C,59.112,C3H9N,trimethylamine,CN(C)C,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,InChIKey=GETQZCLCWQTVFV-UHFFFAOYSA-N
B(C)(O)O,CB(O)O,59.859,CH5BO2,methylboronic acid,B(C)(O)O,"InChI=1S/CH5BO2/c1-2(3)4/h3-4H,1H3",InChIKey=KTMKRRPZPWUYKK-UHFFFAOYSA-N
FB(C)C,CB(C)F,59.8784,C2H6BF,fluorodimethylborane,FB(C)C,InChI=1S/C2H6BF/c1-3(2)4/h1-2H3,InChIKey=JHLZWFXOKRZQOT-UHFFFAOYSA-N
FC1=CO1,FC1=CO1,60.0274,C2HFO,2-fluorooxirene,FC1=CO1,InChI=1S/C2HFO/c3-2-1-4-2/h1H,InChIKey=YTABAHMOTPRNHB-UHFFFAOYSA-N
P1CC1,C1CP1,60.0358,C2H5P,phosphirane,P1CC1,"InChI=1S/C2H5P/c1-2-3-1/h3H,1-2H2",InChIKey=UTMQOVWWMLZKRY-UHFFFAOYSA-N
PC=C,C=CP,60.0358,C2H5P,vinylphosphane,PC=C,"InChI=1S/C2H5P/c1-2-3/h2H,1,3H2",InChIKey=SCESWTHQFQXGMV-UHFFFAOYSA-N
O1COC1,C1OCO1,60.052,C2H4O2,"1,3-dioxetane",O1COC1,InChI=1S/C2H4O2/c1-3-2-4-1/h1-2H2,InChIKey=GFAJOMHUNNCCJQ-UHFFFAOYSA-N
O=CCO,O=CCO,60.052,C2H4O2,2-hydroxyacetaldehyde,O=CCO,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2",InChIKey=WGCNASOHLSPBMP-UHFFFAOYSA-N
OC(C)=O,CC(=O)O,60.052,C2H4O2,acetic acid,OC(C)=O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",InChIKey=QTBSBXVTEAMEQO-UHFFFAOYSA-N
O=COC,COC=O,60.052,C2H4O2,methyl formate,O=COC,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",InChIKey=TZIHFWKZFHZASV-UHFFFAOYSA-N
C1(NN1)O,OC1NN1,60.056,CH4N2O,diaziridin-3-ol,C1(NN1)O,InChI=1S/CH4N2O/c4-1-2-3-1/h1-4H,InChIKey=VKOQFAZFHDCOLA-UHFFFAOYSA-N
NNC=O,NNC=O,60.056,CH4N2O,formohydrazide,NNC=O,"InChI=1S/CH4N2O/c2-3-1-4/h1H,2H2,(H,3,4)",InChIKey=XZBIXDPGRMLSTC-UHFFFAOYSA-N
C(=N/O)\N,NC=NO,60.056,CH4N2O,N'-hydroxyformimidamide,C(=N/O)\N,"InChI=1S/CH4N2O/c2-1-3-4/h1,4H,(H2,2,3)",InChIKey=IONSZLINWCGRRI-UHFFFAOYSA-N
NCN=O,NCN=O,60.056,CH4N2O,nitrosomethanamine,NCN=O,InChI=1S/CH4N2O/c2-1-3-4/h1-2H2,InChIKey=KNELKVOQONUEJI-UHFFFAOYSA-N
O=NNC,CNN=O,60.056,CH4N2O,N-methylnitrous amide,O=NNC,"InChI=1S/CH4N2O/c1-2-3-4/h1H3,(H,2,4)",InChIKey=CIJBKNZDKBKMFU-UHFFFAOYSA-N
NC(N)=O,NC(N)=O,60.056,CH4N2O,urea,NC(N)=O,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)",InChIKey=XSQUKJJJFZCRTK-UHFFFAOYSA-N
O=C=S,O=C=S,60.07,COS,carbon oxide sulfide,O=C=S,InChI=1S/COS/c2-1-3,InChIKey=JJWKPURADFRFRB-UHFFFAOYSA-N
C(C=CF),CC=CF,60.0714,C3H5F,1-fluoroprop-1-ene,C(C=CF),"InChI=1S/C3H5F/c1-2-3-4/h2-3H,1H3",InChIKey=VJGCZWVJDRIHNC-UHFFFAOYSA-N
C(C(F)=C),C=C(C)F,60.0714,C3H5F,2-fluoroprop-1-ene,C(C(F)=C),"InChI=1S/C3H5F/c1-3(2)4/h1H2,2H3",InChIKey=NGOCAPPEAVAHQM-UHFFFAOYSA-N
C(F)(C=C),C=CCF,60.0714,C3H5F,3-fluoroprop-1-ene,C(F)(C=C),"InChI=1S/C3H5F/c1-2-3-4/h2H,1,3H2",InChIKey=QCMKXHXKNIOBBC-UHFFFAOYSA-N
C(C1)(C1F),FC1CC1,60.0714,C3H5F,fluorocyclopropane,C(C1)(C1F),"InChI=1S/C3H5F/c4-3-1-2-3/h3H,1-2H2",InChIKey=XAVRRVJJYIFROR-UHFFFAOYSA-N
COCC,CCOC,60.096,C3H8O,methoxyethane,COCC,"InChI=1S/C3H8O/c1-3-4-2/h3H2,1-2H3",InChIKey=XOBKSJJDNFUZPF-UHFFFAOYSA-N
OCCC,CCCO,60.096,C3H8O,propan-1-ol,OCCC,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N
OC(C)C,CC(C)O,60.096,C3H8O,propan-2-ol,OC(C)C,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N
CN(N)C,CN(C)N,60.1,C2H8N2,"1,1-dimethylhydrazine",CN(N)C,"InChI=1S/C2H8N2/c1-4(2)3/h3H2,1-2H3",InChIKey=RHUYHJGZWVXEHW-UHFFFAOYSA-N
CNNC,CNNC,60.1,C2H8N2,"1,2-dimethylhydrazine",CNNC,"InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",InChIKey=DIIIISSCIXVANO-UHFFFAOYSA-N
NCCN,NCCN,60.1,C2H8N2,"ethane-1,2-diamine",NCCN,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,InChIKey=PIICEJLVQHRZGT-UHFFFAOYSA-N
NNCC,CCNN,60.1,C2H8N2,ethylhydrazine,NNCC,"InChI=1S/C2H8N2/c1-2-4-3/h4H,2-3H2,1H3",InChIKey=WHRIKZCFRVTHJH-UHFFFAOYSA-N
NCNC,CNCN,60.1,C2H8N2,N-methylmethanediamine,NCNC,"InChI=1S/C2H8N2/c1-4-2-3/h4H,2-3H2,1H3",InChIKey=XOTDURGROKNGTI-UHFFFAOYSA-N
CC=S,CC=S,60.114,C2H4S,ethanethial,CC=S,"InChI=1S/C2H4S/c1-2-3/h2H,1H3",InChIKey=QJFUMFCCMJJLIE-UHFFFAOYSA-N
C1CS1,C1CS1,60.114,C2H4S,thiirane,C1CS1,InChI=1S/C2H4S/c1-2-3-1/h1-2H2,InChIKey=VOVUARRWDCVURC-UHFFFAOYSA-N
C#CCl,C#CCl,60.48,C2HCl,chloroethyne,C#CCl,InChI=1S/C2HCl/c1-2-3/h1H,InChIKey=DIWKDXFZXXCDLF-UHFFFAOYSA-N
NC(O)=O,NC(=O)O,61.04,CH3NO2,carbamic acid,NC(O)=O,"InChI=1S/CH3NO2/c2-1(3)4/h2H2,(H,3,4)",InChIKey=KXDHJXZQYSOELW-UHFFFAOYSA-N
O=CNO,O=CNO,61.04,CH3NO2,N-hydroxyformamide,O=CNO,"InChI=1S/CH3NO2/c3-1-2-4/h1,4H,(H,2,3)",InChIKey=KDGKTJGPFXIBEB-UHFFFAOYSA-N
C[N+]([O-])=O,C[N+](=O)[O-],61.04,CH3NO2,nitromethane,C[N+]([O-])=O,InChI=1S/CH3NO2/c1-2(3)4/h1H3,InChIKey=LYGJENNIWJXYER-UHFFFAOYSA-N
FC1CN1,FC1CN1,61.0594,C2H4FN,2-fluoroaziridine,FC1CN1,"InChI=1S/C2H4FN/c3-2-1-4-2/h2,4H,1H2",InChIKey=CQJIFVPKWFHCOM-UHFFFAOYSA-N
NCC(O),NCCO,61.084,C2H7NO,2-aminoethan-1-ol,NCC(O),"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2",InChIKey=HZAXFHJVJLSVMW-UHFFFAOYSA-N
NCOC,COCN,61.084,C2H7NO,methoxymethanamine,NCOC,"InChI=1S/C2H7NO/c1-4-2-3/h2-3H2,1H3",InChIKey=KZRAAPTWXAMZHQ-UHFFFAOYSA-N
CN(O)C,CN(C)O,61.084,C2H7NO,"N,N-dimethylhydroxylamine",CN(O)C,"InChI=1S/C2H7NO/c1-3(2)4/h4H,1-2H3",InChIKey=VMESOKCXSYNAKD-UHFFFAOYSA-N
CNOC,CNOC,61.084,C2H7NO,"N,O-dimethylhydroxylamine",CNOC,"InChI=1S/C2H7NO/c1-3-4-2/h3H,1-2H3",InChIKey=KRKPYFLIYNGWTE-UHFFFAOYSA-N
CCNO,CCNO,61.084,C2H7NO,N-ethylhydroxylamine,CCNO,"InChI=1S/C2H7NO/c1-2-3-4/h3-4H,2H2,1H3",InChIKey=VDUIPQNXOQMTBF-UHFFFAOYSA-N
NOCC,CCON,61.084,C2H7NO,O-ethylhydroxylamine,NOCC,"InChI=1S/C2H7NO/c1-2-4-3/h2-3H2,1H3",InChIKey=AQFWNELGMODZGC-UHFFFAOYSA-N
N=CN,N=CN,44.057,CH4N2,formimidamide,NC(N)N,"InChI=1S/CH4N2/c2-1-3/h1H,(H3,2,3)",InChIKey=PNKUSGQVOMIXLU-UHFFFAOYSA-N
S=CN,NC=S,61.102,CH3NS,methanethioamide,S=CN,"InChI=1S/CH3NS/c2-1-3/h1H,(H2,2,3)",InChIKey=CYEBJEDOHLIWNP-UHFFFAOYSA-N
O=PC,CP=O,62.0078,CH3OP,methyl(oxo)phosphane,O=PC,InChI=1S/CH3OP/c1-3-2/h1H3,InChIKey=XGCRFIXLYQQNSO-UHFFFAOYSA-N
C(F)#C(F),FC#CF,62.0188,C2F2,"1,2-difluoroethyne",C(F)#C(F),InChI=1S/C2F2/c3-1-2-4,InChIKey=BWTZYYGAOGUPFQ-UHFFFAOYSA-N
C(=O)OO,O=COO,62.024,CH2O3,methaneperoxoic acid,C(=O)OO,"InChI=1S/CH2O3/c2-1-4-3/h1,3H",InChIKey=SCKXCAADGDQQCS-UHFFFAOYSA-N
N[N+](=O)[O-],N[N+](=O)[O-],62.028,H2N2O2,nitramide,NN(=O)=O,InChI=1S/H2N2O2/c1-2(3)4/h1H2,InChIKey=SFDJOSRHYKHMOK-UHFFFAOYSA-N
C(=O)C(F),O=CCF,62.0434,C2H3FO,2-fluoroacetaldehyde,C(=O)C(F),"InChI=1S/C2H3FO/c3-1-2-4/h2H,1H2",InChIKey=YYDWYJJLVYDJLV-UHFFFAOYSA-N
FC1CO1,FC1CO1,62.0434,C2H3FO,2-fluorooxirane,FC1CO1,"InChI=1S/C2H3FO/c3-2-1-4-2/h2H,1H2",InChIKey=NRSWGNXBEVDTNI-UHFFFAOYSA-N
CPC,CPC,62.0518,C2H7P,dimethylphosphane,CPC,"InChI=1S/C2H7P/c1-3-2/h3H,1-2H3",InChIKey=YOTZYFSGUCFUKA-UHFFFAOYSA-N
CCP,CCP,62.0518,C2H7P,ethylphosphane,CCP,"InChI=1S/C2H7P/c1-2-3/h2-3H2,1H3",InChIKey=JLHMVTORNNQCRM-UHFFFAOYSA-N
O(OC)C,COOC,62.068,C2H6O2,(methylperoxy)methane,O(OC)C,InChI=1S/C2H6O2/c1-3-4-2/h1-2H3,InChIKey=SRXOCFMDUSFFAK-UHFFFAOYSA-N
OCC(O),OCCO,62.068,C2H6O2,"ethane-1,2-diol",OCC(O),"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N
CCOO,CCOO,62.068,C2H6O2,hydroperoxyethane,CCOO,"InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3",InChIKey=ILHIHKRJJMKBEE-UHFFFAOYSA-N
OCOC,COCO,62.068,C2H6O2,methoxymethanol,OCOC,"InChI=1S/C2H6O2/c1-4-2-3/h3H,2H2,1H3",InChIKey=VHWYCFISAQVCCP-UHFFFAOYSA-N
ONCN,NCNO,62.072,CH6N2O,(hydroxyamino)methanamine,ONCN,"InChI=1S/CH6N2O/c2-1-3-4/h3-4H,1-2H2",InChIKey=WTLWWXPLMBJSPF-UHFFFAOYSA-N
C=S=O,C=S=O,62.086,CH2OS,methylene-lambda4-sulfanone,C=S=O,InChI=1S/CH2OS/c1-3-2/h1H2,InChIKey=IWOKCMBOJXYDEE-UHFFFAOYSA-N
C(CCF),CCCF,62.0874,C3H7F,1-fluoropropane,C(CCF),"InChI=1S/C3H7F/c1-2-3-4/h2-3H2,1H3",InChIKey=JRHNUZCXXOTJCA-UHFFFAOYSA-N
C(C(F)C),CC(C)F,62.0874,C3H7F,2-fluoropropane,C(C(F)C),"InChI=1S/C3H7F/c1-3(2)4/h3H,1-2H3",InChIKey=PRNZBCYBKGCOFI-UHFFFAOYSA-N
CSC,CSC,62.13,C2H6S,dimethylsulfane,CSC,InChI=1S/C2H6S/c1-3-2/h1-2H3,InChIKey=QMMFVYPAHWMCMS-UHFFFAOYSA-N
SCC,CCS,62.13,C2H6S,ethanethiol,SCC,"InChI=1S/C2H6S/c1-2-3/h3H,2H2,1H3",InChIKey=DNJIEGIFACGWOD-UHFFFAOYSA-N
C=CCl,C=CCl,62.496,C2H3Cl,chloroethene,C=CCl,"InChI=1S/C2H3Cl/c1-2-3/h2H,1H2",InChIKey=BZHJMEDXRYGGRV-UHFFFAOYSA-N
O[N+]([O-])=O,O=[N+]([O-])O,63.012,HNO3,nitric acid,O[N+]([O-])=O,"InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)",InChIKey=GRYLNZFGIOXLOG-UHFFFAOYSA-N
OCNO,OCNO,63.056,CH5NO2,(hydroxyamino)methanol,OCNO,"InChI=1S/CH5NO2/c3-1-2-4/h2-4H,1H2",InChIKey=OUGMWBAPHWXBFS-UHFFFAOYSA-N
NC(F)(C),CC(N)F,63.0754,C2H6FN,1-fluoroethan-1-amine,NC(F)(C),"InChI=1S/C2H6FN/c1-2(3)4/h2H,4H2,1H3",InChIKey=POPFWMPZFYJLRI-UHFFFAOYSA-N
CNC(F),CNCF,63.0754,C2H6FN,1-fluoro-N-methylmethanamine,CNC(F),"InChI=1S/C2H6FN/c1-4-2-3/h4H,2H2,1H3",InChIKey=DHQDMYDJNSEKNM-UHFFFAOYSA-N
NC(CF),NCCF,63.0754,C2H6FN,2-fluoroethan-1-amine,NC(CF),"InChI=1S/C2H6FN/c3-1-2-4/h1-2,4H2",InChIKey=FURHRJBOFNDYTG-UHFFFAOYSA-N
CSN,CSN,63.118,CH5NS,S-methylthiohydroxylamine,CSN,"InChI=1S/CH5NS/c1-3-2/h2H2,1H3",InChIKey=XOVSRHHCHKUFKM-UHFFFAOYSA-N
O=PO,O=PO,63.9798,HO2P,phosphenous acid,O=PO,"InChI=1S/HO2P/c1-3-2/h(H,1,2)",InChIKey=GQZXNSPRSGFJLY-UHFFFAOYSA-N
POC,COP,64.0238,CH5OP,methoxyphosphane,POC,"InChI=1S/CH5OP/c1-2-3/h3H2,1H3",InChIKey=JVRGLGIDPIOAFN-UHFFFAOYSA-N
OCP,OCP,64.0238,CH5OP,phosphaneylmethanol,OCP,"InChI=1S/CH5OP/c2-1-3/h2H,1,3H2",InChIKey=RDBMUARQWLPMNW-UHFFFAOYSA-N
C=C(F)(F),C=C(F)F,64.0348,C2H2F2,"1,1-difluoroethene",C=C(F)(F),InChI=1S/C2H2F2/c1-2(3)4/h1H2,InChIKey=BQCIDUSAKPWEOX-UHFFFAOYSA-N
C(F)=C(F),FC=CF,64.0348,C2H2F2,"1,2-difluoroethene",C(F)=C(F),InChI=1S/C2H2F2/c3-1-2-4/h1-2H,InChIKey=WFLOTYSKFUPZQB-UHFFFAOYSA-N
O=S=O,O=S=O,64.058,O2S,sulfur dioxide,O=S=O,InChI=1S/O2S/c1-3-2,InChIKey=RAHZWNYVWXNFOC-UHFFFAOYSA-N
OC(F)(C),CC(O)F,64.0594,C2H5FO,1-fluoroethan-1-ol,OC(F)(C),"InChI=1S/C2H5FO/c1-2(3)4/h2,4H,1H3",InChIKey=OGBOTYGRYZDLMG-UHFFFAOYSA-N
OC(CF),OCCF,64.0594,C2H5FO,2-fluoroethan-1-ol,OC(CF),"InChI=1S/C2H5FO/c3-1-2-4/h4H,1-2H2",InChIKey=GGDYAKVUZMZKRV-UHFFFAOYSA-N
COC(F),COCF,64.0594,C2H5FO,fluoro(methoxy)methane,COC(F),"InChI=1S/C2H5FO/c1-4-2-3/h2H2,1H3",InChIKey=BSSAVAPAZUPJLX-UHFFFAOYSA-N
NNC(F),NNCF,64.0634,CH5FN2,(fluoromethyl)hydrazine,NNC(F),"InChI=1S/CH5FN2/c2-1-4-3/h4H,1,3H2",InChIKey=YAACAJWASBLQKD-UHFFFAOYSA-N
C#CC1=CC1,C#CC1=CC1,64.087,C5H4,1-ethynylcycloprop-1-ene,C#CC1=CC1,"InChI=1S/C5H4/c1-2-5-3-4-5/h1,3H,4H2",InChIKey=QGPULDSMZUQXIB-UHFFFAOYSA-N
C#CC1C=C1,C#CC1C=C1,64.087,C5H4,3-ethynylcycloprop-1-ene,C#CC1C=C1,"InChI=1S/C5H4/c1-2-5-3-4-5/h1,3-5H",InChIKey=JGJOZLNPBMYOLU-UHFFFAOYSA-N
C=C=C=C=C,C=C=C=C=C,64.087,C5H4,"penta-1,2,3,4-tetraene",C=C=C=C=C,InChI=1S/C5H4/c1-3-5-4-2/h1-2H2,InChIKey=UNSWNZFTRPSXHQ-UHFFFAOYSA-N
C=C=CC#C,C#CC=C=C,64.087,C5H4,"penta-1,2-dien-4-yne",C=C=CC#C,"InChI=1S/C5H4/c1-3-5-4-2/h1,5H,2H2",InChIKey=FPCAUUABCRPODB-UHFFFAOYSA-N
CC#CC#C,C#CC#CC,64.087,C5H4,"penta-1,3-diyne",CC#CC#C,"InChI=1S/C5H4/c1-3-5-4-2/h1H,2H3",InChIKey=VNMDYSSJFJFEQI-UHFFFAOYSA-N
C#CCC#C,C#CCC#C,64.087,C5H4,"penta-1,4-diyne",C#CCC#C,"InChI=1S/C5H4/c1-3-5-4-2/h1-2H,5H2",InChIKey=MDROPVLMRLHTDK-UHFFFAOYSA-N
CCCl,CCCl,64.512,C2H5Cl,chloroethane,CCCl,"InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3",InChIKey=HRYZWHHZPQKTII-UHFFFAOYSA-N
NOCF,NOCF,65.0474,CH4FNO,O-(fluoromethyl)hydroxylamine,NOCF,"InChI=1S/CH4FNO/c2-1-4-3/h1,3H2",InChIKey=YUQGANJJQJORNK-UHFFFAOYSA-N
CC#C[N+]#[C-],[C-]#[N+]C#CC,65.075,C4H3N,1-isocyanoprop-1-yne,CC#CN#C,InChI=1S/C4H3N/c1-3-4-5-2/h1H3,InChIKey=QRJFDECOKMVIKS-UHFFFAOYSA-N
[C-]#[N+]C=C=C,[C-]#[N+]C=C=C,65.075,C4H3N,"1-isocyanopropa-1,2-diene",C#N]C=C=C,"InChI=1S/C4H3N/c1-3-4-5-2/h4H,1H2",InChIKey=BUSRRQVCYVJXLI-UHFFFAOYSA-N
C#CC1=CN1,C#CC1=CN1,65.075,C4H3N,2-ethynyl-1H-azirine,C#CC1=CN1,"InChI=1S/C4H3N/c1-2-4-3-5-4/h1,3,5H",InChIKey=MUFVLIXKFGZEDB-UHFFFAOYSA-N
N#CC#CC,CC#CC#N,65.075,C4H3N,but-2-ynenitrile,N#CC#CC,InChI=1S/C4H3N/c1-2-3-4-5/h1H3,InChIKey=WNXDCVVDPKHWMW-UHFFFAOYSA-N
C#CCC#N,C#CCC#N,65.075,C4H3N,but-3-ynenitrile,C#CCC#N,"InChI=1S/C4H3N/c1-2-3-4-5/h1H,3H2",InChIKey=YXIMMMSICIMRFY-UHFFFAOYSA-N
C1=CC1C#N,N#CC1C=C1,65.075,C4H3N,cycloprop-2-ene-1-carbonitrile,C1=CC1C#N,"InChI=1S/C4H3N/c5-3-4-1-2-4/h1-2,4H",InChIKey=GFKKDWJMXPLWJE-UHFFFAOYSA-N
NCCl,NCCl,65.5,CH4ClN,chloromethanamine,NCCl,"InChI=1S/CH4ClN/c2-1-3/h1,3H2",InChIKey=RAJISUUPOAJLEQ-UHFFFAOYSA-N
B1=NNC=C1,b1cc[nH]n1,65.87,C2H3BN2,"1H-1,2,3-diazaborole",B1=NNC=C1,"InChI=1S/C2H3BN2/c1-2-4-5-3-1/h1-2,4H",InChIKey=ZXZMRYBHVYXOPJ-UHFFFAOYSA-N
B1=NC=CN1,b1ncc[nH]1,65.87,C2H3BN2,"1H-1,3,2-diazaborole",B1=NC=CN1,"InChI=1S/C2H3BN2/c1-2-5-3-4-1/h1-2,4H",InChIKey=JBHWFTWMNPYAKF-UHFFFAOYSA-N
C#CB(C)C,C#CB(C)C,65.91,C4H7B,ethynyldimethylborane,C#CB(C)C,"InChI=1S/C4H7B/c1-4-5(2)3/h1H,2-3H3",InChIKey=PJKNDTSEEMEQRT-UHFFFAOYSA-N
O=[PH2]O,O=[PH2]O,65.9958,H3O2P,phosphinic acid,O=PO,"InChI=1S/H3O2P/c1-3-2/h3H2,(H,1,2)",InChIKey=ACVYVLVWPXVTIT-UHFFFAOYSA-N
PCF,FCP,66.0152,CH4FP,(fluoromethyl)phosphane,PCF,"InChI=1S/CH4FP/c2-1-3/h1,3H2",InChIKey=UCWVGIYVICXULU-UHFFFAOYSA-N
C(C(F)F),CC(F)F,66.0508,C2H4F2,"1,1-difluoroethane",C(C(F)F),"InChI=1S/C2H4F2/c1-2(3)4/h2H,1H3",InChIKey=NPNPZTNLOVBDOC-UHFFFAOYSA-N
C(F)(CF),FCCF,66.0508,C2H4F2,"1,2-difluoroethane",C(F)(CF),InChI=1S/C2H4F2/c3-1-2-4/h1-2H2,InChIKey=AHFMSNDOYCFEPH-UHFFFAOYSA-N
